subject,body,label
Account Verification Required Immediately,"This is an urgent request from Priya Sharma (CFO). We have a confidential acquisition in progress and I need you to wire $48,500 to the escrow account below today. Do not discuss this with anyone in the office as this deal is not yet public.",1
Office closed Friday - public holiday,"Good morning, attaching the updated project timeline for your review. Let me know if you have any questions before our sync tomorrow.",0
Office closed Friday - public holiday,Thanks for sending this over. I've reviewed the proposal and I think we're good to proceed — let's discuss next steps in our regular Monday call.,0
Re: Overdue Invoice - Please Expedite,"This is Priya Sharma, Managing Director at Crestpoint Group. I'm currently traveling and my usual assistant is unavailable. I need you to handle a payment of $115,000 discreetly today. Please don't loop in the finance team yet, I'll explain everything when I'm back. Reply to confirm you can action this now.",1
Account Verification Required Immediately,"Hi team, our vendor invoice for $8,750 is now overdue and they've threatened to pause deliveries. Please expedite payment today using the updated account details I sent separately. Keep this between us for now until I brief the CFO properly.",1
URGENT: Wire Transfer Approval Needed Today,"Hi, I need you to process an urgent wire transfer of $27,900 to the overseas vendor before end of day. This is time-sensitive and confidential — please don't discuss this with anyone else right now, I'm in back-to-back meetings and can't take calls. Please confirm once done.",1
Quick Favor - Time Sensitive,"This is an urgent request from Michael Torres (CFO). We have a confidential acquisition in progress and I need you to wire $27,900 to the escrow account below today. Do not discuss this with anyone in the office as this deal is not yet public.",1
Reminder: Timesheets due Friday,Thanks for sending this over. I've reviewed the proposal and I think we're good to proceed — let's discuss next steps in our regular Monday call.,0
Quick Favor - Time Sensitive,"Hi team, our vendor invoice for $63,200 is now overdue and they've threatened to pause deliveries. Please expedite payment today using the updated account details I sent separately. Keep this between us for now until I brief the CFO properly.",1
Updated project timeline attached,"Hi, following up on the invoice from last week — I've approved it through the normal process and finance should process it in the next payment cycle as usual.",0
Account Verification Required Immediately,"This is Lisa Wagner, COO at Northbridge Ltd. I'm currently traveling and my usual assistant is unavailable. I need you to handle a payment of $115,000 discreetly today. Please don't loop in the finance team yet, I'll explain everything when I'm back. Reply to confirm you can action this now.",1
Re: Overdue Invoice - Please Expedite,"This is Priya Sharma, CFO at Vantage Holdings. I'm currently traveling and my usual assistant is unavailable. I need you to handle a payment of $115,000 discreetly today. Please don't loop in the finance team yet, I'll explain everything when I'm back. Reply to confirm you can action this now.",1
Quick Favor - Time Sensitive,"This is an urgent request from Priya Sharma (VP of Finance). We have a confidential acquisition in progress and I need you to wire $63,200 to the escrow account below today. Do not discuss this with anyone in the office as this deal is not yet public.",1
Re: Proposal review,"Hi, just confirming receipt of the signed contract. I'll forward this to legal for filing and loop you in once it's fully processed.",0
Re: Proposal review,"Hi, following up on the invoice from last week — I've approved it through the normal process and finance should process it in the next payment cycle as usual.",0
Payment Update Required Before EOD,Your account access will be suspended within 24 hours due to unusual sign-in activity. Click here to verify your credentials immediately and confirm your identity to avoid disruption to payment processing: verify-account-secure-login.com,1
Payment Update Required Before EOD,"Hey, quick favor — can you purchase $48,500 in gift cards for a client appreciation gift? I need it done in the next hour, I'm stuck in back-to-back calls. Send me the codes directly once purchased, don't mention it to procurement, I'll expense it properly later.",1
URGENT: Wire Transfer Approval Needed Today,"This is Lisa Wagner, VP of Finance at Meridian Corp. I'm currently traveling and my usual assistant is unavailable. I need you to handle a payment of $12,400 discreetly today. Please don't loop in the finance team yet, I'll explain everything when I'm back. Reply to confirm you can action this now.",1
Re: Overdue Invoice - Please Expedite,"This is an urgent request from Lisa Wagner (VP of Finance). We have a confidential acquisition in progress and I need you to wire $27,900 to the escrow account below today. Do not discuss this with anyone in the office as this deal is not yet public.",1
Confidential Request - Action Needed,"Hey, quick favor — can you purchase $8,750 in gift cards for a client appreciation gift? I need it done in the next hour, I'm stuck in back-to-back calls. Send me the codes directly once purchased, don't mention it to procurement, I'll expense it properly later.",1
Account Verification Required Immediately,"Hi, I need you to process an urgent wire transfer of $8,750 to our new supplier before end of day. This is time-sensitive and confidential — please don't discuss this with anyone else right now, I'm in back-to-back meetings and can't take calls. Please confirm once done.",1
Reminder: Timesheets due Friday,"Hi, following up on the invoice from last week — I've approved it through the normal process and finance should process it in the next payment cycle as usual.",0
